epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold,lr,val_pixel_f1_micro_thresh_sweep_best,pixel_iou_val_micro_thresh_sweep_best,pixel_val_best_threshold_sweep
1,2.1169816790340104,0.9101381040065089,0.21859761181278764,0.9301431468714063,0.27850824566645044,0.20666092313895715,0.8464998182047285,0.8731580598003105,0.8591700844454885,0.9858126606896659,1.6781743268171947,0.9390395482381185,0.2881290788451831,0.9223534911870956,0.35202814390261966,0.27325714627901715,0.8724242498658561,0.8528568327707023,0.8789362502392312,0.9989831894636154,0.0003,0.47822702024828634,0.3142564801792011,0.85
2,1.620215376960897,0.9615671885347812,0.35947231377396627,0.867063504513179,0.4010257722339898,0.3220658126835511,0.8876814790548184,0.917403039426294,0.8815561322270713,0.9843079837683205,1.4583360453446705,0.9677098641792933,0.4223192185163498,0.8610643148422241,0.45977630217870075,0.37826354056596756,0.9096623137795824,0.9108227797316807,0.9075105568276474,0.9949037482341131,0.0003,0.5966241279525551,0.42513494769043136,0.85
3,1.3526407056879775,0.976292467005899,0.5107762055976368,0.787623528008149,0.4915784371790485,0.41329733595669826,0.8914136730217131,0.9158225029613192,0.8875651296326179,0.8887922758253936,1.2494948158661525,0.9622706373532613,0.4092288166284561,0.8959042926629385,0.46482222775618237,0.3827391006052494,0.9231157260176462,0.9436237142852222,0.9171364682458903,0.989957794547081,0.0003,0.5712418890409781,0.39981707516457304,0.85
4,1.0910410418688694,0.9811715099299065,0.6083463997205841,0.735562637587574,0.5312243479991627,0.45575865810719607,0.8934141802711402,0.9287983726111556,0.8885711200520988,0.8687730966327346,0.900050550699234,0.9818602651357651,0.6338972399632136,0.7806274096171061,0.5919738213221232,0.5142958660920461,0.9360078508807673,0.9569507591688865,0.9195171945543937,0.9906766961018244,0.0003,0.6711628201350767,0.5050752871045364,0.8
5,0.940018035541071,0.9827656194428417,0.6531015804437833,0.7113617215758172,0.5443277910491017,0.47103051799480045,0.885284214691423,0.9284885950104008,0.8861926420790709,0.7891782889856356,0.8170856138070425,0.9821088115374247,0.7093009849389394,0.723440354069074,0.5961309721072515,0.5239580447475115,0.906037834172253,0.94692729869133,0.9035441859870716,0.8985931227604548,0.0003,0.6533252356324456,0.4851395844932699,0.6
6,0.8698220776620312,0.9833761085973722,0.669252365549034,0.6949212801790683,0.5476718032471487,0.47564801295226977,0.8805448453457455,0.9140715499538833,0.8857858187883059,0.8160120594167264,0.8738137632608414,0.9759791592756907,0.5345816612243652,0.8405774384737015,0.5442731156945229,0.4644995505611102,0.9047327932903947,0.9331475924568177,0.909737185585548,0.9154158532619476,0.0003,0.646873310044745,0.4780582002018378,0.85
7,0.8315521083145498,0.983745674663615,0.7029870804225173,0.6852793415016103,0.5612975509367256,0.4905185777450276,0.8917072257892472,0.9359190709181134,0.8828181680436821,0.7895526323363046,0.8912125527858734,0.974046433965365,0.4971274361014366,0.8556391398111979,0.5145566835999489,0.4345569337407748,0.8870903300723721,0.8474310492174859,0.9033481028191686,0.9999386717875799,0.0003,0.6375548225296582,0.46794897370750566,0.85
8,0.8006260957673331,0.9840905515947075,0.7083040375575841,0.6928202058667334,0.5738843707280739,0.5030722682164094,0.885702450464649,0.922901767149543,0.8821708859600856,0.8186911221976593,0.8250486652056376,0.9770372857650121,0.5755978524684906,0.813446452220281,0.5627508610486984,0.48444022486607236,0.9108669007494238,0.9063806440060493,0.9066612899924177,0.9855918933947881,0.0003,0.6451390777452531,0.47616627444828036,0.85
9,0.7825865561717025,0.9842688313154416,0.7081708632339941,0.6848022542267203,0.5686722737606441,0.4973610450174207,0.8901646550474756,0.9322092817311615,0.887249454691352,0.8654648644901882,0.6883617043495178,0.9845951298872629,0.7462665935357412,0.706481804450353,0.6153974036375681,0.5429729297757149,0.9216425754317753,0.9508022490343282,0.9190622395978836,0.9920994242032369,0.0003,0.6619733183149161,0.4947385036310971,0.35
10,0.766063928604126,0.9844424178667157,0.6984080360314556,0.691226124206436,0.563954009073917,0.49218036192599857,0.8863728980521433,0.9240363911252737,0.8862458119698203,0.8972009036028497,0.7522647778193156,0.9838837236166,0.8102649003267288,0.6748187690973282,0.6327756543954214,0.5651665776968002,0.8901917141103303,0.9078801914043683,0.8788854546917149,0.9531044860680898,0.0003,0.6128211053232159,0.44177510750446425,0.35
