epoch,train_loss,train_acc,val_acc,lr
1,0.4213575310404262,0.8575749936980086,0.8911290322580645,0.001
2,0.23250001023012784,0.9054701285606251,0.9163306451612904,0.001
3,0.18540594319722825,0.9279052180489035,0.9344758064516129,0.001
4,0.16536142645523913,0.9374842450214268,0.9445564516129032,0.001
5,0.1451447097839968,0.9483236702798085,0.9183467741935484,0.001
6,0.12873534574323603,0.9468111923367785,0.9405241935483871,0.001
7,0.1241210826687635,0.9561381396521301,0.9485887096774194,0.001
8,0.12048530267577828,0.9518527854802118,0.9495967741935484,0.001
9,0.10462875710049223,0.9601714141668767,0.9193548387096774,0.001
10,0.1036361132489307,0.9594151751953617,0.9284274193548387,0.001
11,0.08508184616408881,0.9654650869674817,0.9516129032258065,0.001
12,0.10407303981182556,0.9664734055961683,0.9112903225806451,0.001
13,0.0858952454347614,0.967481724224855,0.9526209677419355,0.001
14,0.08681181610201395,0.9679858835391983,0.9526209677419355,0.001
15,0.07482822944087186,0.97126291908243,0.9465725806451613,0.001
16,0.07732161350225308,0.97126291908243,0.9415322580645161,0.001
17,0.0728318995998932,0.972019158053945,0.9506048387096774,0.0005
18,0.05384756304791212,0.9798336274262667,0.9616935483870968,0.0005
19,0.05089070516283579,0.9815981850264683,0.9485887096774194,0.0005
20,0.05078620000764908,0.9828585833123267,0.9465725806451613,0.0005
