epoch,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold,lr
1,0.7384024008375699,0.15044199644786413,0.9475104935833665,0.16657186241545638,0.13155539538405958,0.7727893365197943,0.5744540405134085,0.6666434142460167,0.9910990703301351,0.7722172372870975,0.22340252581569883,0.9562615387969546,0.2423857475320498,0.20766401208109325,0.04166666737891714,0.051454174647346904,0.051440299573250824,0.5277619063854218,0.0003
2,0.8370713484091837,0.238589381096793,0.9301958142733965,0.24256659140352343,0.2065733974097205,0.7904458232846329,0.584551346206931,0.6647486823015993,0.9991174682241971,0.9369092252519395,0.5593970749113295,0.8682765513658524,0.5058044013049867,0.476289591855473,0.04148860509350542,0.05094364768671298,0.05252522292012486,0.4722222222222222,0.0003
3,0.8815436138481391,0.26527374665268133,0.9245733472167469,0.26729302279284745,0.2311835576032029,0.8082511256565614,0.5789218227175329,0.680067500642052,0.994719967490337,0.8534733255704244,0.2438370312253634,0.9426600899961259,0.25523658841848373,0.22092565149068832,0.039886040963547066,0.050650096524832,0.051440299573250824,0.5277761353386773,0.0003
4,0.9277693658578591,0.3666650235164361,0.9147395872678913,0.3615476696706209,0.32622185996809944,0.8728061736728946,0.7049663216925637,0.7605474000300098,0.9921723819169842,0.9700092209710015,0.7022777928246392,0.8608544634448158,0.6478844632705053,0.6194241477383507,0.04273504215976334,0.05535522383727802,0.05446620103380466,0.4722222222222222,0.0003
5,0.9545582220202586,0.5322018685888071,0.8960875614744718,0.5076208319820341,0.4736281276726332,0.8914564901046218,0.7764454609208079,0.8057199607400781,0.9725989064232248,0.938702235619227,0.48809616102112663,0.9235628048578898,0.4847181720866097,0.45103363858328926,0.05377492753762154,0.055159464769507324,0.053418773586470805,0.5248472922378116,0.0003
6,0.9637919723010454,0.6307015917340263,0.8837071911233371,0.5935647072362118,0.5605234181294676,0.902775971096684,0.7796432120074495,0.8065205563521338,0.9503918045856914,0.9752046267191569,0.898575978146659,0.7952110568682352,0.7603654762109121,0.7406350721915563,0.03739316202333992,0.053952980921082395,0.0498083999207445,0.4722222222222222,0.0003
7,0.968473702180581,0.6856242203321613,0.866939082497456,0.6328042779789597,0.6020079587326675,0.8946313865234308,0.8128461558330292,0.8175472302119995,0.9160725093278729,0.9542784525288476,0.5674425876802869,0.9126446810033586,0.5546414885256026,0.5220983624458313,0.052706551510336846,0.054990523963629814,0.05333330346668117,0.5277521742714776,0.0003
8,0.9686656965584052,0.692863007060817,0.8664997522948218,0.6389969504270397,0.6072910491560326,0.8932416351303354,0.7938876346900794,0.8133069212026364,0.9651980654138034,0.8431130217181312,0.24188447992006937,0.9594976206620535,0.2625459101465013,0.22770682473977408,0.04914529867959671,0.054030764461439756,0.05252522292012486,0.527555505434672,0.0003
9,0.9689088854633394,0.7023973758103418,0.8634281989003791,0.6460291440369653,0.6145548805838725,0.8985622890130449,0.8062173617663332,0.8127752861084899,0.9622474039187197,0.9207852648364173,0.34143303169144523,0.9285832610395219,0.34289459387461346,0.30889005959033966,0.05306267661534822,0.055046528926849414,0.05333330346668117,0.5277647806538476,0.0003
10,0.9694655723259097,0.7107852433548599,0.8566255843053099,0.645321141500942,0.6158496703280777,0.8894681809923447,0.8103606460727588,0.8051811346485601,0.9319408330761019,0.9755596584743924,0.8949451347192129,0.8149753676520454,0.7718736694918739,0.7525001557336913,0.049145298323471434,0.05435362002719338,0.0498083999207445,0.4722222222222222,0.0003
