epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold,train_fps,trainable_params_m
1,0.8454707234662179,0.7475943013241388,0.1560078135520835,0.47978183461923896,0.16562096306687935,0.10877645043605562,0.7021810111779346,0.15293770617543012,0.18693412719297875,0.55801489072001,0.8057311665070684,0.9209842782271347,0.21489922444848847,0.42837867519497713,0.21828135701056225,0.14535817830102518,0.7412889711153156,0.20561224470000658,0.2333524834252789,0.5742986654309893,1.715651919293958,376.636145
1,0.9012118141640697,0.6874045154504574,0.05633600616027357,0.5473447502695644,0.08686290226580076,0.05177371495297126,0.6986638945631132,0.0743182747405558,0.1007275670425956,0.6046056036411391,0.8302010503254439,0.7879653428730059,0.09520217101604594,0.6095367834182813,0.14565923448482146,0.08759072830918008,0.8572672533917427,0.1264418301114699,0.1554627958015537,0.6622150234154642,1.7496830961448255,376.636145
2,0.8733369505022004,0.6447498533460791,0.07549024245227778,0.647670528130878,0.1146480210483074,0.06846481873190044,0.7711177242716485,0.09416924715812725,0.12370702574959279,0.6565915282737987,0.9765116277493928,0.049400058545563445,0.025440682986877308,0.763310656683189,0.04753727879994492,0.025432593024304735,0.49873610947429686,0.032858483024684686,0.04786578693316564,0.7783893837341176,1.7462276734803643,376.636145
3,0.9827552632281654,0.02762444033260209,0.023042636902816323,0.8243680011322566,0.04330536606361276,0.02303945026607057,0.49732015333182555,0.0278863712206522,0.04352009156894994,0.8075214974821315,0.9770532444903725,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.4972355181769216,0.03271604093519895,0.04744702342564606,0.8694722511266407,1.8209224617406967,376.636145
4,0.9823141842557673,0.022948194804944286,0.022940216765701037,0.8327181889791776,0.04318841561454387,0.02294020757268975,0.4956679953444387,0.027541342186032547,0.04343569086384909,0.8857843910909002,0.9769753296124307,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.4942984868425685,0.032687178290778364,0.04757032427700301,0.877333120295876,1.8179354159152752,376.636145
5,0.9734491379637468,0.022939336230182992,0.022935014183962387,0.8327428793160258,0.043157117690964135,0.02293500536778679,0.500983355386265,0.027560679327159332,0.043335621183890706,0.9079355219607813,0.9345659710858998,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.5027751189744785,0.032763761707167986,0.04752926443861341,0.8868351948888679,1.8155336168620853,376.636145
6,0.970709084889345,0.022948647660818514,0.022948647660818514,0.8263157894686486,0.04317664407485016,0.022948647660818514,0.5030195242150993,0.027784877733064595,0.04345608089951076,0.9131468270257203,0.9344664435637625,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.5037635107030292,0.032802424287499944,0.04776161262473191,0.8868272053567987,1.8165960288940823,376.636145
7,0.9794617644876067,0.022934531050118563,0.022934531050118563,0.8245614035036233,0.04310499368398557,0.022934531050118563,0.5026122745187914,0.027835936554654245,0.04341403347878064,0.9121218124676866,0.9769539481715153,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.503550527732172,0.03281613502056639,0.0477475474321763,0.8867928966095573,1.8154148868666151,376.636145
8,0.9761146267255147,0.022935066446226025,0.022934534124663997,0.8269005847903462,0.04318715676289475,0.022934534124663997,0.502857467100172,0.027753625965897262,0.04350110991481163,0.9133784157142305,0.9769543158380609,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.5042352951440723,0.032843414668049936,0.04774716855769378,0.8867972863347907,1.8145727840092254,376.636145
9,0.9773794003223119,0.022934531050118584,0.022934531050118584,0.8251461988256852,0.04309508473095763,0.022934531050118584,0.5024379179769275,0.02781448838408721,0.043428661321225484,0.912109546040931,0.9769525735001815,0.02532846551192388,0.02532846551192388,0.7736842105237307,0.04734185521482904,0.02532846551192388,0.5042625173377889,0.0328256182377397,0.047734814326711256,0.8868211488974722,1.8101549433351924,376.636145
